date,close,contribution,shares_bought,cum_contributed,cum_shares,market_value,pnl_dollars,mode
2018-06-19,244.550048828125,95000.0,388.46853826133577,95000.0,388.46853826133577,95000.0,0.0,lump_sum
2018-06-20,244.96725463867188,0.0,0.0,95000.0,388.46853826133577,95162.07133137729,162.0713313772867,lump_sum
2018-06-21,243.43150329589844,0.0,0.0,95000.0,388.46853826133577,94565.48025211721,-434.5197478827904,lump_sum
2018-06-22,243.87545776367188,0.0,0.0,95000.0,388.46853826133577,94737.94259526774,-262.0574047322589,lump_sum
2018-06-25,240.55560302734375,0.0,0.0,95000.0,388.46853826133577,93448.28347860639,-1551.7165213936096,lump_sum
2018-06-26,241.0882110595703,0.0,0.0,95000.0,388.46853826133577,93655.18494235168,-1344.8150576483167,lump_sum
2018-06-27,239.09097290039062,0.0,0.0,95000.0,388.46853826133577,92879.32075409539,-2120.679245904612,lump_sum
2018-06-28,240.45790100097656,0.0,0.0,95000.0,388.46853826133577,93410.32931523836,-1589.6706847616442,lump_sum
2018-06-29,240.80418395996094,0.0,0.0,95000.0,388.46853826133577,93544.84935013982,-1455.1506498601811,lump_sum
2018-07-02,241.31893920898438,0.0,0.0,95000.0,388.46853826133577,93744.81556929031,-1255.1844307096908,lump_sum
2018-07-03,240.46678161621094,0.0,0.0,95000.0,388.46853826133577,93413.77915485732,-1586.220845142685,lump_sum
2018-07-05,242.42855834960938,0.0,0.0,95000.0,388.46853826133577,94175.8676948757,-824.1323051242944,lump_sum
2018-07-06,244.47915649414062,0.0,0.0,95000.0,388.46853826133577,94972.46055864316,-27.53944135684287,lump_sum
2018-07-09,246.680419921875,0.0,0.0,95000.0,388.46853826133577,95827.58214474327,827.5821447432681,lump_sum
2018-07-10,247.56809997558594,0.0,0.0,95000.0,388.46853826133577,96172.4179176521,1172.4179176520993,lump_sum
2018-07-11,245.75735473632812,0.0,0.0,95000.0,388.46853826133577,95469.00036139395,469.00036139394797,lump_sum
2018-07-12,247.98532104492188,0.0,0.0,95000.0,388.46853826133577,96334.49517658887,1334.495176588869,lump_sum
2018-07-13,248.1806182861328,0.0,0.0,95000.0,388.46853826133577,96410.36201040856,1410.3620104085567,lump_sum
2018-07-16,247.95867919921875,0.0,0.0,95000.0,388.46853826133577,96324.14565773199,1324.1456577319914,lump_sum
2018-07-17,248.9617156982422,0.0,0.0,95000.0,388.46853826133577,96713.7937803304,1713.793780330394,lump_sum
2018-07-18,249.48544311523438,0.0,0.0,95000.0,388.46853826133577,96917.24540445673,1917.2454044567276,lump_sum
2018-07-19,248.5445098876953,0.0,0.0,95000.0,388.46853826133577,96551.7224489531,1551.7224489531072,lump_sum
2018-07-20,248.26048278808594,0.0,0.0,95000.0,388.46853826133577,96441.38685674126,1441.3868567412574,lump_sum
2018-07-23,248.72215270996094,0.0,0.0,95000.0,388.46853826133577,96620.73109645126,1620.731096451258,lump_sum
2018-07-24,249.97366333007812,0.0,0.0,95000.0,388.46853826133577,97106.90359766672,2106.903597666722,lump_sum
