skipped,skip_reason,S_open,S_settle,iv_atm,long_K,short_K,debit,debit_usd,pop,breakeven,spread_width,armed,stopped,stop_time,stop_spot,pnl,winner,date
False,,4197.75,4186.0,0.18610000610351562,4190.0,4195.0,4.305332372414563,430.53323724145633,0.5661791980064,4194.305332372414,5.0,True,True,10:52:00,4192.5,-244.32905595890375,False,2021-05-03
False,,4147.0,4160.75,0.18309999465942384,4140.0,4145.0,4.155015360346434,415.50153603464344,0.5566530688882937,4144.155015360347,5.0,True,True,10:32:00,4142.25,-229.57059056944135,False,2021-05-04
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2021-05-05
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2021-05-06
False,,4225.25,4224.5,0.18389999389648437,4215.0,4225.0,7.344020490423754,734.4020490423753,0.5565361240900282,4222.344020490424,10.0,True,True,10:49:00,4222.0,-264.1275137388605,False,2021-05-07
False,,4220.5,4183.75,0.16690000534057617,4210.0,4220.0,7.433230991649178,743.3230991649178,0.5658085142852967,4217.433230991649,10.0,True,True,10:46:00,4216.5,-272.7559591966399,False,2021-05-10
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-05-11
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-05-12
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-05-13
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-05-14
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-05-17
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-05-18
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-05-19
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-05-20
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-05-21
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-05-24
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-05-25
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-05-26
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-05-27
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-05-28
False,,4207.5,4199.25,0.16760000228881836,4200.0,4205.0,4.220087853151881,422.0087853151881,0.5700844600516004,4204.220087853152,5.0,True,True,10:49:00,4202.5,-229.60072655047642,False,2021-06-01
False,,4211.0,4206.25,0.17899999618530274,4200.0,4210.0,7.559509228298461,755.9509228298461,0.5685680101413587,4207.559509228298,10.0,True,True,12:26:00,4207.5,-272.4332201547808,False,2021-06-02
False,,4178.5,4190.75,0.17479999542236327,4170.0,4175.0,4.424685659717477,442.46856597174775,0.5832584646302166,4174.424685659717,5.0,True,False,,,57.53143402825227,True,2021-06-03
False,,4216.25,4228.25,0.18040000915527343,4205.0,4215.0,7.627760509358762,762.7760509358761,0.5713907330663069,4212.627760509359,10.0,True,False,,,237.22394906412381,True,2021-06-04
False,,4219.0,4225.25,0.16420000076293945,4210.0,4215.0,4.510391431283896,451.0391431283896,0.59637196032902,4214.510391431284,5.0,True,False,,,48.9608568716104,True,2021-06-07
False,,4221.5,4225.25,0.16420000076293945,4215.0,4220.0,4.022079991840875,402.2079991840875,0.5545984743435066,4219.022079991841,5.0,True,True,11:15:00,4216.75,-215.84173941056707,False,2021-06-08
False,,4231.75,4219.25,0.1706999969482422,4225.0,4230.0,4.085179150274774,408.5179150274774,0.5560962903888284,4229.085179150275,5.0,True,True,11:55:00,4228.0,-213.22067949597613,False,2021-06-09
False,,4240.25,4238.5,0.17889999389648437,4230.0,4240.0,7.34574783737539,734.574783737539,0.5579296348894726,4237.345747837376,10.0,True,True,10:37:00,4237.25,-256.63683270866767,False,2021-06-10
False,,4239.25,4245.75,0.16100000381469726,4230.0,4235.0,4.5578837643545445,455.78837643545444,0.6020425577687156,4234.557883764354,5.0,True,True,11:04:00,4234.0,-247.72785653574232,False,2021-06-11
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-06-14
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-06-15
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-06-16
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-06-17
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-06-21
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-06-22
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-06-23
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-06-24
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-06-25
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-06-28
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-06-29
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-06-30
False,,4299.25,4310.75,0.15829999923706053,4290.0,4295.0,4.55529371531825,455.52937153182495,0.6024449785480477,4294.555293715318,5.0,True,True,11:24:00,4294.5,-242.8039144548909,False,2021-07-01
False,,4324.5,4343.25,0.15479999542236328,4315.0,4325.0,7.154729750560018,715.4729750560018,0.5538122863663734,4322.15472975056,10.0,True,False,,,284.5270249439982,True,2021-07-02
False,,4328.25,4334.5,0.15069999694824218,4320.0,4325.0,4.347831846620233,434.7831846620233,0.5896334711242268,4324.3478318466205,5.0,True,True,10:33:00,4322.5,-237.9440272412788,False,2021-07-06
