threshold,signal_time,eow_time,n,mean,std,t_stat,p_value,ci_low_95,ci_high_95,hit_rate,by_year_min,verdict_simple,verdict_nuanced
0.0075,10:30,15:55,2,0.003174785383536105,0.0009589144519267183,4.682195098842611,0.13395355954928956,-0.00544071914479851,0.01179028991187072,1.0,0.002496730472000941,EDGE_PRESENT,EDGE_PRESENT_AND_SIGNIFICANT
0.005,10:30,15:55,14,0.0021176808736894648,0.002710086357472082,2.923757858130063,0.011854645329324582,0.0005529235969581228,0.0036824381504208066,0.7857142857142857,0.0008774795384732248,EDGE_PRESENT,EDGE_PRESENT_AND_SIGNIFICANT
0.005,10:00,15:55,5,0.0031090826431901418,0.0037987028850870637,1.8301300070427968,0.14120625178113086,-0.0016076299690952357,0.00782579525547552,0.8,-0.000745434215430496,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.005,11:00,15:55,23,0.00108376560921778,0.0031273710122838323,1.6619573604006808,0.11070595400640085,-0.0002686110295760584,0.0024361422480116183,0.6956521739130435,-0.00021318367217921798,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.0025,10:30,15:55,60,0.00062765308337099,0.004358350507275008,1.1155091519298004,0.2691552829327386,-0.0004982282387996748,0.0017535344055416547,0.6166666666666667,-0.00015910764982713616,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.001,10:30,15:55,129,0.0003448523455289032,0.004199567447552723,0.9326602739689905,0.3527513270111738,-0.0003867637666192729,0.0010764684576770793,0.5736434108527132,-0.00042485166657496576,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.0075,11:00,15:55,5,0.00017459937543380378,0.0027865340918534908,0.1401081269525409,0.8953464461019911,-0.003285339686188096,0.003634538437055704,0.6,-0.0006097262963880024,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.001,11:00,15:55,137,-9.580749077793499e-05,0.004352384718061899,-0.2576513799667327,0.7970654201634363,-0.0008311621234115323,0.0006395471418556624,0.5620437956204379,-0.0004249646279656666,NO_EDGE,NO_EDGE
0.0025,10:00,15:55,36,-0.00043472571908178485,0.007579221369724547,-0.3441454190676984,0.7327960869243328,-0.0029991652845221552,0.0021297138463585853,0.5277777777777778,-0.002588145712347432,NO_EDGE,NO_EDGE
0.001,10:00,15:55,112,-0.0004617652714154317,0.005840529527090066,-0.836715963225459,0.4045499869047706,-0.0015553486995135161,0.0006318181566826529,0.5267857142857143,-0.0016735440660843454,NO_EDGE,NO_EDGE
0.0025,11:00,15:55,81,-0.0006901256685861189,0.005053331997463763,-1.2291159615858207,0.22263137612743356,-0.0018075091312091522,0.00042725779403691435,0.5432098765432098,-0.0013775211395646487,NO_EDGE,NO_EDGE
