date,session_open_price,signal_price,eow_price,confirmation_return,entered,skip_reason,forward_return
2021-04-30,4180.0,4188.5,4172.0,0.0020334928229666094,False,no_signal,
2021-05-03,4198.25,4197.75,4183.75,-0.00011909724289882462,False,no_signal,
2021-05-04,4164.75,4147.0,4149.25,-0.004261960501830808,False,no_signal,
2021-05-05,4177.75,4161.75,4161.5,-0.00382981269822269,False,no_signal,
2021-05-06,4162.25,4146.75,4189.25,-0.003723947384227322,False,no_signal,
2021-05-10,4228.5,4220.5,4187.5,-0.0018919238500649804,False,no_signal,
2021-05-11,4134.25,4122.0,4143.5,-0.002963052548829892,False,no_signal,
2021-05-13,4073.75,4115.5,4115.0,0.010248542497698576,True,,-0.00012149192078725335
2021-05-14,4135.0,4147.25,4176.75,0.00296251511487311,False,no_signal,
2021-05-17,4156.75,4146.25,4156.75,-0.0025260119083418964,False,no_signal,
2021-05-18,4161.0,4160.5,4129.0,-0.00012016342225429355,False,no_signal,
2021-05-19,4071.75,4071.75,4103.75,0.0,False,no_signal,
2021-05-20,4120.75,4139.25,4160.75,0.004489474003518845,False,no_signal,
2021-05-24,4176.25,4193.25,4198.5,0.004070637533672539,False,no_signal,
2021-05-25,4206.25,4197.75,4181.5,-0.0020208023774145323,False,no_signal,
2021-05-26,4191.5,4190.5,4190.5,-0.00023857807467497771,False,no_signal,
2021-05-27,4204.5,4206.25,4200.25,0.000416220715899529,False,no_signal,
2021-05-28,4212.5,4203.75,4206.0,-0.002077151335311611,False,no_signal,
2021-06-01,4228.75,4207.5,4201.5,-0.005025125628140725,False,no_signal,
2021-06-02,4206.5,4211.0,4202.75,0.0010697729704030046,False,no_signal,
2021-06-03,4181.0,4178.5,4190.75,-0.0005979430758191739,False,no_signal,
2021-06-07,4228.5,4219.0,4225.75,-0.0022466595719522475,False,no_signal,
2021-06-08,4234.0,4221.5,4228.25,-0.0029522909777988104,False,no_signal,
2021-06-09,4234.5,4231.75,4220.5,-0.0006494273231786307,False,no_signal,
2021-06-11,4244.75,4239.25,4242.5,-0.0012957182401790446,False,no_signal,
2021-06-14,4246.5,4237.75,4250.0,-0.002060520428588286,False,no_signal,
2021-06-15,4257.0,4246.5,4246.0,-0.0024665257223396297,False,no_signal,
2021-06-17,4219.0,4222.75,4226.5,0.0008888362171131092,False,no_signal,
