month_end,portfolio_nav,benchmark_nav,skipped,skip_reason,holdings,month_return,benchmark_month_return
2018-07-31,1.0,1.0,True,insufficient_lookback,,,
2018-08-31,1.0,1.0,True,insufficient_lookback,,,
2018-09-30,1.0,1.0,True,insufficient_lookback,,,
2018-10-31,1.0,1.0,True,insufficient_lookback,,,
2018-11-30,1.0,1.0,True,insufficient_lookback,,,
2018-12-31,1.0,1.0,True,insufficient_lookback,,,
2019-01-31,1.0,1.0,True,insufficient_lookback,,,
2019-02-28,1.0,1.0,True,insufficient_lookback,,,
2019-03-31,1.0,1.0,True,insufficient_lookback,,,
2019-04-30,1.0,1.0,True,insufficient_lookback,,,
2019-05-31,1.0,1.0,True,insufficient_lookback,,,
2019-06-30,1.0,1.0,True,insufficient_lookback,,,
2019-08-31,1.0392344475397115,0.9832564948835952,False,,"XLU,XLRE,XLP",0.03923444753971139,-0.016743505116404767
2019-09-30,1.0618470301101648,1.0023888041425433,False,,"XLU,XLRE,XLK",0.021758884748274625,0.019458106158976474
2019-10-31,1.0565181786652196,1.0245460251999283,False,,"XLU,XLRE,XLP",-0.005018473747948688,0.022104417932260034
2019-11-30,1.0486884343176537,1.0616329604418566,False,,"XLRE,XLU,XLP",-0.00741089411017785,0.036198408202004595
2019-12-31,1.0782328693482757,1.0924795344943317,False,,"XLRE,XLU,XLK",0.028172748038215345,0.02905578029494915
2020-01-31,1.122037431646624,1.0920379316027848,False,,"XLK,XLRE,XLU",0.04062625388597674,-0.0004042207451979696
2020-02-29,1.014511091447086,1.005585891195667,False,,"XLK,XLI,XLF",-0.0958313307264087,-0.07916578527655371
2020-03-31,0.931978679904863,0.8800172537967533,False,,"XLK,XLU,XLP",-0.0813519065863536,-0.1248711209040626
2020-04-30,1.0066400142118286,0.9917647181505816,False,,"XLK,XLU,XLP",0.08011056037739721,0.12698326523906678
2020-05-31,1.0689128246425614,1.0390180411103276,False,,"XLK,XLU,XLC",0.061862045568982046,0.04764569871759772
2020-06-30,1.0672531916644057,1.0574441937947539,False,,"XLK,XLV,XLU",-0.0015526364170163425,0.017734198979582283
2020-07-31,1.132744751477168,1.119719269324037,False,,"XLK,XLV,XLC",0.06136459494735887,0.058892068153310495
2020-08-31,1.2206941507878517,1.1978722130901707,False,,"XLK,XLV,XLC",0.07764273389569228,0.06979690883886791
2020-09-30,1.16609373346323,1.1530195957882692,False,,"XLK,XLV,XLC",-0.0447289907053147,-0.037443574374427246
2020-10-31,1.1312565019027256,1.1242705221228768,False,,"XLK,XLV,XLC",-0.029875155453446878,-0.024933725125233397
2020-11-30,1.2502336553794773,1.2465650526625052,False,,"XLK,XLC,XLY",0.1051725698607141,0.10877678293006254
2020-12-31,1.2973869619084801,1.2927483727228153,False,,"XLK,XLY,XLC",0.03771559526182385,0.037048463665549036
2021-01-31,1.2932246394690095,1.2795748688056299,False,,"XLK,XLY,XLC",-0.003208235138534077,-0.010190307870540205
2021-02-28,1.3270503575551993,1.3151540520805778,False,,"XLK,XLY,XLC",0.026156103938816438,0.027805472069139636
2021-03-31,1.3871520171841198,1.3748608939556852,False,,"XLK,XLY,XLB",0.045289660099745555,0.04539912398904988
2021-04-30,1.46586939458506,1.4476054491257828,False,,"XLK,XLY,XLB",0.0567474771515916,0.05291048388233688
