skipped,skip_reason,pnl,pop_computed,date
True,pop_below_threshold,0.0,0.19269547918400498,2021-05-03
True,pop_below_threshold,0.0,0.19897508103304412,2021-05-04
True,pop_below_threshold,0.0,0.18442226536813044,2021-05-05
True,pop_below_threshold,0.0,0.18892638451554644,2021-05-06
True,pop_below_threshold,0.0,0.1930306778963516,2021-05-07
True,pop_below_threshold,0.0,0.21552802110143598,2021-05-10
True,pop_below_threshold,0.0,0.18451293404966373,2021-05-11
True,pop_below_threshold,0.0,0.16313288521148367,2021-05-12
True,pop_below_threshold,0.0,0.11891373466135874,2021-05-13
True,pop_below_threshold,0.0,0.149904623382359,2021-05-14
True,pop_below_threshold,0.0,0.19273801580124783,2021-05-17
True,pop_below_threshold,0.0,0.1813257006087982,2021-05-18
True,pop_below_threshold,0.0,0.16959955459485898,2021-05-19
True,pop_below_threshold,0.0,0.15829694757155088,2021-05-20
True,pop_below_threshold,0.0,0.17093290349449974,2021-05-21
True,pop_below_threshold,0.0,0.17562403843549212,2021-05-24
True,pop_below_threshold,0.0,0.1952269550381156,2021-05-25
True,pop_below_threshold,0.0,0.18967974794981268,2021-05-26
True,pop_below_threshold,0.0,0.20770762825483524,2021-05-27
True,pop_below_threshold,0.0,0.21629170392688324,2021-05-28
True,pop_below_threshold,0.0,0.21620016673772735,2021-06-01
True,pop_below_threshold,0.0,0.2003184348049854,2021-06-02
True,pop_below_threshold,0.0,0.20772547909114297,2021-06-03
True,pop_below_threshold,0.0,0.19841700442512406,2021-06-04
True,pop_below_threshold,0.0,0.21982844539320068,2021-06-07
True,pop_below_threshold,0.0,0.22005332613970974,2021-06-08
True,pop_below_threshold,0.0,0.2104551226328057,2021-06-09
True,pop_below_threshold,0.0,0.1983779016570661,2021-06-10
True,pop_below_threshold,0.0,0.2231600047402149,2021-06-11
True,pop_below_threshold,0.0,0.2309563938661206,2021-06-14
True,pop_below_threshold,0.0,0.21911006573483982,2021-06-15
True,pop_below_threshold,0.0,0.20963760746650995,2021-06-16
True,pop_below_threshold,0.0,0.1969908633946268,2021-06-17
True,pop_below_threshold,0.0,0.16969162206813748,2021-06-21
True,pop_below_threshold,0.0,0.2005138183425409,2021-06-22
True,pop_below_threshold,0.0,0.2156666396181604,2021-06-23
True,pop_below_threshold,0.0,0.3055575982320464,2021-06-24
True,pop_below_threshold,0.0,0.22388113103075674,2021-06-25
True,pop_below_threshold,0.0,0.2293909391122474,2021-06-28
True,pop_below_threshold,0.0,0.22649099389373167,2021-06-29
True,pop_below_threshold,0.0,0.22160738627083776,2021-06-30
True,pop_below_threshold,0.0,0.2238908461542118,2021-07-01
True,pop_below_threshold,0.0,0.2275801740721891,2021-07-02
True,pop_below_threshold,0.0,0.23494887648628993,2021-07-06
True,pop_below_threshold,0.0,0.2138014846258776,2021-07-07
True,pop_below_threshold,0.0,0.3053622535535594,2021-07-08
True,pop_below_threshold,0.0,0.18066231756407825,2021-07-09
True,pop_below_threshold,0.0,0.21447076559053685,2021-07-12
True,pop_below_threshold,0.0,0.21530736207720136,2021-07-13
True,pop_below_threshold,0.0,0.20223544988065367,2021-07-14
True,pop_below_threshold,0.0,0.21431546968077625,2021-07-15
True,pop_below_threshold,0.0,0.20578085110498895,2021-07-16
True,pop_below_threshold,0.0,0.19170556780368087,2021-07-19
