threshold,signal_time,eow_time,vix_band,n,mean,std,t_stat,p_value,ci_low_95,ci_high_95,hit_rate,by_year_min,verdict_simple,verdict_nuanced
0.0075,14:30,15:55,,26,-0.000982043119711643,0.0029829476956476073,-1.67869421173745,0.10566987167513751,-0.0021868817683294304,0.00022279552890614417,0.4230769230769231,-0.0023069637491830533,NO_EDGE,NO_EDGE
0.005,14:00,15:55,,52,-0.0005284829307311534,0.002815215215974793,-1.3536956564785196,0.18180257577735232,-0.0013122438518415975,0.00025527799037929056,0.4807692307692308,-0.00108540628628208,NO_EDGE,NO_EDGE
0.0075,14:00,15:55,,24,-0.0007917392496886814,0.0031045322845782474,-1.2493715595776045,0.22409473307045705,-0.0021026682617831206,0.000519189762405758,0.4166666666666667,-0.0015559913122186388,NO_EDGE,NO_EDGE
0.0025,14:00,15:55,,111,-0.0002156229365121235,0.0024279603440705536,-0.9356530907982029,0.3515013969450147,-0.0006723243077934587,0.00024107843476921172,0.5405405405405406,-0.000656175523006353,NO_EDGE,NO_EDGE
0.005,14:30,15:55,,52,-0.0003126386724960094,0.0024916706043616476,-0.9048023943487077,0.3698246281303895,-0.0010063241985250031,0.00038104685353298437,0.5192307692307693,-0.0007049045100360155,NO_EDGE,NO_EDGE
0.0025,14:30,15:55,,110,-0.00016641527498581043,0.002119839630506433,-0.8233538535841483,0.4121045951823606,-0.0005670081226194846,0.00023417757264786372,0.5181818181818182,-0.00039413232571460725,NO_EDGE,NO_EDGE
0.001,14:00,15:55,,155,-9.824072365142048e-05,0.0025683396607334786,-0.4762170536060043,0.6345946786366627,-0.000505772068730563,0.00030929062142772204,0.5290322580645161,-0.0003824918048091919,NO_EDGE,NO_EDGE
0.001,14:30,15:55,,159,-7.598223986517589e-05,0.0021817658252438607,-0.4391395164032637,0.6611604146617506,-0.0004177231081290224,0.0002657586283986706,0.5220125786163522,-0.0001041112423165612,NO_EDGE,NO_EDGE
