S0,S_close,prior_vix,sigma_daily_pct,short_call_K,long_call_K,short_put_K,long_put_K,wing_width_pts,net_credit_per_share,max_loss_per_contract,pnl_per_share,pnl_per_contract,pnl_total,winner,date,skipped,skip_reason
4198.25,4183.75,18.610000610351562,1.1723198455654875,4321.292294791133,4364.505217739044,4075.2077052088675,4034.455628156779,43.212922947911466,2.9819363996285655e-08,4321.29229180921,2.9819363996285655e-08,2.9819363996285656e-06,2.9819363996285656e-06,True,2021-05-03,False,
4164.75,4149.25,18.309999465942383,1.1534215498240241,4284.84280999074,4327.691238090647,4044.65719000926,4004.210618109167,42.84842809990732,2.8999265324270214e-08,4284.842807090806,2.8999265324270214e-08,2.8999265324270216e-06,2.8999265324270216e-06,True,2021-05-04,False,
4177.75,4161.5,19.479999542236328,1.2271246268668903,4305.915497747329,4348.974652724803,4049.5845022526714,4009.0886572301447,43.059154977473554,3.1398008161533395e-08,4305.915494607554,3.1398008161533395e-08,3.1398008161533396e-06,3.1398008161533396e-06,True,2021-05-05,False,
4162.25,4189.25,19.149999618530273,1.2063365856574495,4287.776861341318,4330.654629954732,4036.7231386586823,3996.3559072720955,42.87776861341354,3.0624469235457786e-08,4287.776858278907,3.0624469235457786e-08,3.0624469235457787e-06,3.0624469235457787e-06,True,2021-05-06,False,
4203.0,4228.5,18.389999389648438,1.1584610713247467,4324.725297069448,4367.972550040143,4081.274702930552,4040.4619559012463,43.24725297069472,2.9421743636966703e-08,4324.725294127297,2.9421743636966703e-08,2.9421743636966704e-06,2.9421743636966704e-06,True,2021-05-07,False,
4228.5,4187.5,16.690000534057617,1.051371209396468,4339.643078973324,4383.039509763057,4117.356921026676,4076.1833518164094,43.39643078973313,2.6341492174633116e-08,4339.643076339164,2.6341492174633116e-08,2.6341492174633114e-06,2.6341492174633114e-06,True,2021-05-10,False,
4134.25,4143.5,19.65999984741211,1.2384635802814343,4262.252951419463,4304.875480933658,4006.247048580537,3966.1845780947315,42.622529514194866,3.142990467442491e-08,4262.252948276496,3.142990467442491e-08,3.142990467442491e-06,3.142990467442491e-06,True,2021-05-11,False,
4115.75,4052.25,21.84000015258789,1.3757906913657205,4257.310263449711,4299.883366084208,3974.189736550288,3934.447839184785,42.573102634497445,3.578205409596683e-08,4257.3102598715395,3.578205409596683e-08,3.5782054095966825e-06,3.5782054095966825e-06,True,2021-05-12,False,
4073.75,4115.0,27.59000015258789,1.7380066446662301,4250.755114217726,4293.262665359904,3896.7448857822737,3857.777436924451,42.50755114217736,4.882061265976824e-08,4250.755109335675,4.882061265976824e-08,4.8820612659768245e-06,4.8820612659768245e-06,True,2021-05-13,False,
4135.0,4176.75,23.1299991607666,1.4570529905838359,4285.622852901604,4328.479081430621,3984.3771470983957,3944.5333756274117,42.856228529016335,3.8775468963078187e-08,4285.6228490240865,3.8775468963078187e-08,3.877546896307819e-06,3.877546896307819e-06,True,2021-05-14,False,
4156.75,4156.75,18.809999465942383,1.1849185892414598,4279.885258645736,4322.684111232194,4033.614741354264,3993.2785939407213,42.79885258645754,2.991491806309634e-08,4279.885255654262,2.991491806309634e-08,2.991491806309634e-06,2.991491806309634e-06,True,2021-05-17,False,
4161.0,4129.0,19.719999313354492,1.2422431913690588,4290.224347982166,4333.126591461988,4031.775652017834,3991.4578954976555,42.902243479821664,3.17541002841734e-08,4290.224344806757,3.17541002841734e-08,3.17541002841734e-06,3.17541002841734e-06,True,2021-05-18,False,
4071.75,4103.75,21.34000015258789,1.344293651948285,4208.59069193301,4250.67659885234,3934.909308066989,3895.5602149863194,42.08590691933023,3.435229446318791e-08,4208.590688497793,3.435229446318791e-08,3.4352294463187906e-06,3.4352294463187906e-06,True,2021-05-19,False,
4120.75,4160.75,22.18000030517578,1.3972086877817105,4264.688692504412,4307.335579429456,3976.8113074955877,3937.0431944206316,42.64688692504387,3.655618644248154e-08,4264.688688848769,3.655618644248154e-08,3.655618644248154e-06,3.655618644248154e-06,True,2021-05-20,False,
4171.5,4155.25,20.670000076293945,1.3020876143228546,4307.291462078695,4350.364376699482,4035.7085379213054,3995.3514525420924,43.07291462078683,3.378322671336754e-08,4307.291458700361,3.378322671336754e-08,3.378322671336754e-06,3.378322671336754e-06,True,2021-05-21,False,
4176.25,4198.5,20.149999618530273,1.2693306644923206,4308.776054689652,4351.863815236548,4043.7239453103484,4003.286705857245,43.08776054689679,3.27463752490396e-08,4308.776051415041,3.27463752490396e-08,3.2746375249039605e-06,3.2746375249039605e-06,True,2021-05-24,False,
4206.25,4181.5,18.399999618530273,1.1590910265312961,4328.135665758682,4371.417022416269,4084.3643342413184,4043.5206908989053,43.28135665758691,2.9464054280822652e-08,4328.135662812286,2.9464054280822652e-08,2.946405428082265e-06,2.946405428082265e-06,True,2021-05-25,False,
4191.5,4190.5,18.84000015258789,1.186808454861107,4315.862690963759,4359.021317873397,4067.1373090362417,4026.465935945879,43.15862690963786,3.022425144061139e-08,4315.8626879413605,3.022425144061139e-08,3.022425144061139e-06,3.022425144061139e-06,True,2021-05-26,False,
