month_end,portfolio_nav,benchmark_nav,skipped,skip_reason,holdings,month_return,benchmark_month_return
2021-05-31,1.0,1.0,True,insufficient_lookback,,,
2021-06-30,1.0,1.0,True,insufficient_lookback,,,
2021-07-31,1.0,1.0,True,insufficient_lookback,,,
2021-08-31,1.0,1.0,True,insufficient_lookback,,,
2021-09-30,1.0,1.0,True,insufficient_lookback,,,
2021-10-31,1.0,1.0,True,insufficient_lookback,,,
2021-11-30,1.0,1.0,True,insufficient_lookback,,,
2021-12-31,1.0,1.0,True,insufficient_lookback,,,
2022-01-31,1.0,1.0,True,insufficient_lookback,,,
2022-02-28,1.0,1.0,True,insufficient_lookback,,,
2022-03-31,1.0,1.0,True,insufficient_lookback,,,
2022-04-30,1.0,1.0,True,insufficient_lookback,,,
2022-06-30,0.9029211601946232,0.9175393676065657,False,,"XLE,XLRE,XLU",-0.09707883980537675,-0.08246063239343426
2022-07-31,0.957127623361447,1.0020332041854656,False,,"XLE,XLU,XLP",0.060034547374146784,0.0920874237792162
2022-08-31,0.9613619201593813,0.9611482507555494,False,,"XLE,XLU,XLP",0.0044239625882528015,-0.040801994643631434
2022-09-30,0.8685182637780181,0.8722940335184641,False,,"XLE,XLU,XLP",-0.09657513412427547,-0.0924459022499785
2022-10-31,0.9724807709371959,0.943190245993261,False,,"XLE,XLU,XLP",0.11970100284010747,0.08127559028328046
2022-11-30,1.0190258038707167,0.9956237648321672,False,,"XLE,XLU,XLP",0.04786216275378349,0.0555916678121382
2022-12-31,0.9977249545461272,0.9382476221359571,False,,"XLE,XLU,XLP",-0.020903150090683997,-0.05762833785499488
2023-01-31,0.9968134183245144,0.9972517027587159,False,,"XLE,XLP,XLU",-0.0009136147366660315,0.06288753547643822
2023-02-28,0.9463830031684352,0.9721780691050433,False,,"XLE,XLP,XLU",-0.050591629515626645,-0.025142733358399783
2023-03-31,0.9678632454743855,1.0082241949501747,False,,"XLE,XLV,XLU",0.02269719789349108,0.03707769902515312
2023-04-30,0.993112633529528,1.0243305023270985,False,,"XLE,XLU,XLV",0.026087764127014523,0.015974926467341666
2023-05-31,0.9280925220340408,1.0290591293546794,False,,"XLE,XLI,XLP",-0.06547103450331253,0.004616309889081904
2023-06-30,1.0020930545507978,1.095741869213885,False,,"XLE,XLI,XLK",0.07973400362560279,0.06479971651485394
2023-07-31,1.026481908287601,1.1316090655929962,False,,"XLK,XLI,XLP",0.024337913156913138,0.0327332535032574
2023-08-31,1.008236111128412,1.1132181468061988,False,,"XLK,XLC,XLI",-0.017775079143506067,-0.01625200729296028
2023-09-30,0.9565689239429558,1.0604131794555545,False,,"XLK,XLC,XLI",-0.05124512662776041,-0.047434519013313525
2023-10-31,0.9430927199685789,1.037393134356894,False,,"XLK,XLC,XLI",-0.014088063742263532,-0.021708561855558473
