date,session_open_price,signal_price,eow_price,confirmation_return,entered,skip_reason,forward_return
2023-05-01,4184.25,4189.75,4187.5,0.0013144530083049055,False,no_signal,
2023-05-02,4177.0,4137.75,4140.5,-0.009396696193440301,False,no_signal,
2023-05-03,4141.5,4142.0,4109.75,0.00012072920439454293,False,no_signal,
2023-05-04,4095.25,4065.25,4076.25,-0.00732556010011598,False,no_signal,
2023-05-05,4114.5,4133.5,4151.0,0.004617815044355433,True,,0.0042337002540220325
2023-05-08,4154.75,4143.25,4153.75,-0.0027679162404476987,False,no_signal,
2023-05-09,4135.5,4137.25,4136.5,0.0004231652762665128,False,no_signal,
2023-05-10,4162.75,4145.0,4153.5,-0.00426400816767758,False,no_signal,
2023-05-11,4141.5,4130.75,4142.25,-0.002595677894482673,False,no_signal,
2023-05-12,4155.75,4141.0,4136.5,-0.003549299163809194,False,no_signal,
2023-05-15,4143.0,4131.0,4147.0,-0.002896451846488013,False,no_signal,
2023-05-16,4139.0,4138.5,4124.75,-0.00012080212611742525,False,no_signal,
2023-05-17,4143.75,4137.0,4173.0,-0.0016289592760181382,False,no_signal,
2023-05-18,4167.25,4187.5,4210.75,0.00485931969524267,True,,0.005552238805970111
2023-05-19,4219.75,4224.0,4207.5,0.00100716867112971,False,no_signal,
2023-05-22,4204.5,4209.25,4205.0,0.0011297419431561817,False,no_signal,
2023-05-23,4187.75,4194.0,4160.5,0.0014924482120470817,False,no_signal,
2023-05-24,4140.0,4122.0,4127.25,-0.004347826086956497,False,no_signal,
2023-05-25,4160.75,4144.75,4161.5,-0.0038454605539867126,False,no_signal,
2023-05-26,4166.25,4205.5,4216.0,0.009420942094209517,True,,0.002496730472000941
2023-05-30,4233.0,4219.75,4209.5,-0.0031301677297425057,False,no_signal,
2023-05-31,4194.75,4180.5,4192.0,-0.00339710352225997,False,no_signal,
2023-06-01,4191.25,4190.0,4224.5,-0.00029824038174763867,False,no_signal,
2023-06-02,4254.75,4265.0,4292.0,0.0024090722134084697,False,no_signal,
2023-06-05,4292.0,4288.25,4282.25,-0.0008737185461323849,False,no_signal,
2023-06-06,4275.5,4283.0,4291.5,0.0017541807975676171,False,no_signal,
2023-06-07,4292.75,4292.0,4272.5,-0.0001747131791974832,False,no_signal,
2023-06-08,4272.5,4280.5,4297.75,0.001872440023405586,False,no_signal,
2023-06-09,4305.25,4323.75,4303.75,0.004297079147552507,True,,-0.004625614339404449
2023-06-12,4314.5,4312.5,4338.25,-0.000463553134778083,False,no_signal,
2023-06-13,4357.5,4361.25,4369.75,0.000860585197934638,False,no_signal,
2023-06-14,4374.0,4381.25,4363.5,0.0016575217192500435,False,no_signal,
2023-06-15,4364.75,4396.5,4429.5,0.0072741852339768265,True,,0.007505970658478356
2023-06-20,4435.0,4413.0,4436.25,-0.004960541149943598,False,no_signal,
2023-06-21,4422.0,4414.0,4414.25,-0.0018091361374943382,False,no_signal,
2023-06-22,4398.0,4414.5,4423.0,0.003751705320600207,True,,0.0019254728734852122
2023-06-23,4386.0,4394.25,4392.5,0.0018809849521204125,False,no_signal,
2023-06-26,4383.0,4396.25,4374.75,0.0030230435774583064,True,,-0.00489053170315612
2023-06-27,4379.5,4384.0,4420.0,0.0010275145564562216,False,no_signal,
2023-06-28,4406.25,4411.0,4411.25,0.0010780141843971247,False,no_signal,
2023-06-29,4414.0,4421.0,4431.5,0.0015858631626641806,False,no_signal,
2023-06-30,4468.25,4484.25,4498.0,0.0035808202316343074,True,,0.0030662875620226515
2023-07-05,4471.25,4487.25,4484.75,0.0035784176684372504,True,,-0.0005571341021783915
2023-07-06,4443.75,4426.5,4445.0,-0.0038818565400844385,False,no_signal,
2023-07-07,4434.75,4443.5,4436.75,0.0019730537234341483,False,no_signal,
2023-07-10,4430.0,4441.0,4440.0,0.002483069977426533,False,no_signal,
2023-07-11,4453.0,4450.5,4472.0,-0.0005614192679093133,False,no_signal,
2023-07-12,4512.5,4520.5,4508.5,0.0017728531855956131,False,no_signal,
2023-07-13,4526.0,4525.75,4546.25,-5.523641184268513e-05,False,no_signal,
2023-07-14,4551.5,4550.75,4536.25,-0.00016478084148086047,False,no_signal,
2023-07-17,4536.75,4544.5,4558.5,0.0017082713396152638,False,no_signal,
2023-07-18,4550.0,4561.75,4590.25,0.0025824175824176177,True,,0.0062476023455910745
2023-07-19,4595.25,4603.0,4598.0,0.0016865241281758259,False,no_signal,
2023-07-20,4584.25,4577.75,4564.75,-0.00141789823853411,False,no_signal,
2023-07-21,4581.75,4565.0,4568.25,-0.0036558083701642152,False,no_signal,
2023-07-24,4575.25,4582.75,4579.75,0.0016392546855363843,False,no_signal,
2023-07-25,4580.0,4588.5,4599.5,0.0018558951965066406,False,no_signal,
2023-07-26,4585.25,4587.75,4589.25,0.000545226541628141,False,no_signal,
2023-07-27,4629.25,4615.75,4562.0,-0.0029162391316087666,False,no_signal,
2023-07-28,4596.75,4602.5,4608.75,0.0012508837765812242,False,no_signal,
2023-07-31,4611.5,4614.5,4605.25,0.0006505475441829223,False,no_signal,
2023-08-01,4599.5,4595.75,4604.5,-0.0008153060115230204,False,no_signal,
2023-08-02,4567.75,4554.75,4538.0,-0.002846040172951647,False,no_signal,
2023-08-03,4513.25,4506.5,4525.5,-0.0014955962997840189,False,no_signal,
2023-08-04,4538.5,4535.75,4495.0,-0.0006059270684146689,False,no_signal,
2023-08-07,4518.25,4527.0,4534.75,0.0019365904941073264,False,no_signal,
2023-08-08,4510.75,4491.25,4517.75,-0.004323006151970343,False,no_signal,
2023-08-09,4519.75,4513.5,4488.75,-0.0013828198462304542,False,no_signal,
2023-08-10,4509.0,4536.75,4485.25,0.0061543579507652435,True,,-0.011351738579379544
2023-08-11,4465.5,4486.75,4480.0,0.00475870563206815,True,,-0.001504429709700772
2023-08-14,4472.5,4484.5,4498.75,0.002683063163778643,True,,0.0031776117738877563
2023-08-15,4487.25,4464.25,4453.0,-0.005125633740041269,False,no_signal,
2023-08-16,4448.25,4457.75,4423.25,0.0021356713314224507,False,no_signal,
2023-08-17,4433.0,4422.75,4392.75,-0.0023122039251071147,False,no_signal,
2023-08-18,4353.5,4358.5,4382.75,0.0011485012059262445,False,no_signal,
2023-08-21,4395.0,4385.75,4415.75,-0.0021046643913538166,False,no_signal,
2023-08-22,4431.0,4414.5,4398.25,-0.003723764387271511,False,no_signal,
2023-08-23,4410.5,4427.25,4444.75,0.0037977553565355926,True,,0.003952792365463864
2023-08-24,4463.5,4437.75,4391.5,-0.005769015346701045,False,no_signal,
2023-08-25,4402.25,4391.25,4412.0,-0.002498722244306917,False,no_signal,
2023-08-28,4437.75,4446.5,4440.25,0.0019717199031039634,False,no_signal,
2023-08-29,4441.0,4474.0,4503.5,0.007430758838099516,True,,0.006593652212784962
2023-08-30,4509.25,4506.5,4520.75,-0.0006098575151077812,False,no_signal,
2023-08-31,4527.75,4538.25,4520.25,0.0023190326321020915,False,no_signal,
2023-09-01,4542.75,4537.75,4522.0,-0.0011006548896593804,False,no_signal,
2023-09-05,4517.5,4509.0,4506.5,-0.0018815716657443193,False,no_signal,
2023-09-06,4493.0,4469.75,4468.25,-0.00517471622523924,False,no_signal,
2023-09-07,4438.0,4438.5,4456.75,0.0001126633618746542,False,no_signal,
2023-09-08,4455.25,4475.0,4456.75,0.004432972336008145,True,,-0.0040782122905027585
2023-09-11,4488.25,4483.75,4487.25,-0.001002617946861295,False,no_signal,
2023-09-12,4474.25,4471.25,4467.0,-0.0006705034363301277,False,no_signal,
2023-09-13,4466.25,4465.5,4468.75,-0.00016792611251048584,False,no_signal,
2023-09-14,4493.0,4487.75,4505.0,-0.0011684843089250219,False,no_signal,
2023-09-18,4494.5,4498.25,4497.75,0.0008343530982310998,False,no_signal,
2023-09-19,4490.5,4479.5,4491.25,-0.002449615855695364,False,no_signal,
2023-09-20,4503.25,4501.0,4453.75,-0.0004996391495031283,False,no_signal,
2023-09-21,4415.75,4405.75,4378.0,-0.0022646209590669875,False,no_signal,
2023-09-22,4382.25,4385.25,4360.0,0.0006845798391237334,False,no_signal,
2023-09-25,4348.25,4351.75,4368.5,0.000804921520151769,False,no_signal,
2023-09-26,4346.25,4334.75,4313.25,-0.00264595916019561,False,no_signal,
2023-09-27,4325.5,4323.25,4313.25,-0.0005201710784880076,False,no_signal,
2023-09-28,4307.25,4316.5,4335.0,0.002147541935109354,False,no_signal,
2023-09-29,4369.75,4356.0,4331.5,-0.003146633102580232,False,no_signal,
2023-10-02,4317.25,4319.0,4320.25,0.0004053506282934993,False,no_signal,
2023-10-03,4301.0,4275.25,4260.5,-0.005986979772146017,False,no_signal,
2023-10-04,4269.5,4255.25,4301.25,-0.003337627356833406,False,no_signal,
2023-10-05,4290.75,4280.75,4291.75,-0.0023305948843442836,False,no_signal,
2023-10-06,4265.25,4275.75,4343.0,0.0024617548795498045,False,no_signal,
2023-10-09,4321.75,4329.5,4366.25,0.0017932550471453368,False,no_signal,
2023-10-10,4376.0,4396.75,4390.75,0.004741773308957864,True,,-0.0013646443395689545
2023-10-11,4402.5,4395.75,4408.5,-0.001533219761499116,False,no_signal,
2023-10-12,4413.75,4403.0,4381.0,-0.002435570659869768,False,no_signal,
2023-10-13,4395.0,4387.25,4358.75,-0.0017633674630261886,False,no_signal,
2023-10-16,4380.25,4402.0,4408.5,0.004965470007419759,True,,0.0014766015447524872
2023-10-17,4369.25,4388.5,4399.5,0.004405790467471471,True,,0.0025065512133986
2023-10-18,4382.75,4376.0,4340.5,-0.0015401289144942876,False,no_signal,
2023-10-19,4347.75,4328.0,4307.5,-0.004542579495141141,False,no_signal,
2023-10-20,4296.5,4270.0,4248.25,-0.0061678110089608,False,no_signal,
2023-10-23,4231.25,4243.75,4241.0,0.002954209748892156,True,,-0.0006480117820324427
2023-10-24,4261.75,4279.5,4271.75,0.0041649557106822055,True,,-0.001810959224208486
2023-10-25,4253.5,4227.0,4209.75,-0.006230163394851274,False,no_signal,
2023-10-26,4196.25,4185.5,4158.25,-0.0025618111408995947,False,no_signal,
2023-10-27,4172.75,4160.5,4133.0,-0.0029357138577676967,False,no_signal,
2023-10-30,4165.75,4160.0,4190.25,-0.001380303666806748,False,no_signal,
2023-10-31,4191.5,4187.25,4211.25,-0.0010139568173684887,False,no_signal,
2023-11-01,4221.5,4241.25,4258.0,0.004678431837024766,True,,0.003949307397583368
2023-11-02,4294.0,4310.5,4337.25,0.003842571029343267,True,,0.006205776592042689
2023-11-03,4359.5,4367.0,4377.75,0.0017203807776120517,False,no_signal,
2023-11-06,4382.5,4380.5,4378.0,-0.0004563605248145697,False,no_signal,
2023-11-07,4384.0,4391.75,4393.25,0.001767791970803012,False,no_signal,
2023-11-08,4402.25,4396.25,4400.5,-0.0013629394059855304,False,no_signal,
2023-11-09,4409.0,4389.5,4359.5,-0.004422771603538211,False,no_signal,
2023-11-10,4383.75,4371.75,4430.25,-0.00273738237810095,False,no_signal,
2023-11-13,4415.5,4414.75,4426.25,-0.00016985618842713102,False,no_signal,
2023-11-14,4486.5,4512.0,4508.75,0.005683717820126999,True,,-0.0007203014184397061
2023-11-15,4523.75,4530.0,4515.5,0.0013815971262780558,False,no_signal,
2023-11-16,4513.0,4520.25,4519.75,0.0016064701972080542,False,no_signal,
2023-11-17,4522.25,4522.25,4526.25,0.0,False,no_signal,
