threshold,n,n_gap_up,n_gap_down,mean,std,t_stat,p_value,ci_low_95,ci_high_95,hit_rate,by_year_min,verdict_simple,verdict_nuanced
0.001,285,172,113,0.0002579333148211236,0.0059019044238076135,0.737798379995375,0.46124614795999896,-0.0004301999350011941,0.0009460665646434413,0.5333333333333333,-0.0001129640094310394,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.01,13,7,6,0.0010164362198672792,0.0055951476809182835,0.6549984232710709,0.5248259226728555,-0.0023646776846905737,0.004397550124425132,0.5384615384615384,-0.0031367628607277265,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.003,164,100,64,0.00015599129735759684,0.006368059463831694,0.31370048053477845,0.7541496243520232,-0.0008259142958174395,0.001137896890532633,0.5,-0.00017218836995864744,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.0075,42,25,17,-0.00024183894497875085,0.007857572431545853,-0.19946306659440735,0.84288649211576,-0.0026904308871954817,0.00220675299723798,0.4523809523809524,-0.0010369722398615088,NO_EDGE,NO_EDGE
0.002,213,130,83,6.315567535456015e-05,0.0061548623519098004,0.14975586520344636,0.8810996043939522,-0.0007681542805441604,0.0008944656312532807,0.5070422535211268,-0.0006346205924066932,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.005,90,59,31,4.304751186498226e-05,0.006980516781809519,0.058503484491808186,0.9534787442323536,-0.0014189934227128618,0.0015050884464428264,0.4888888888888889,-0.00036963831501728313,EDGE_PRESENT,EDGE_INCONCLUSIVE
