month_end,v8_return,spy_return_v8,n_days,v9_return,spy_return_v9,v9_traded,spy_return,combined_return,v8_nav,v9_nav,combined_nav,spy_nav
2021-04-30,0.0,0.0,1.0,0.0,,False,0.0,0.0,1.0,1.0,1.0,1.0
2021-05-31,-0.04036597643867501,0.0065662529520149615,20.0,0.0,,False,0.0065662529520149615,-0.020182988219337505,0.959634023561325,1.0,0.9798170117806625,1.006566252952015
2021-06-30,0.07135970823193416,0.02242730445049501,22.0,0.0,,False,0.02242730445049501,0.03567985411596708,1.028113227492098,1.0,1.0147767398213394,1.0291408207565638
2021-07-31,-0.03186319499681978,0.02441254180478647,21.0,0.0,,False,0.02441254180478647,-0.01593159749840989,0.9953542552457076,1.0,0.9986097252517573,1.0542647640662957
2021-08-31,0.07698028046891991,0.029759815477825136,22.0,0.0,,False,0.029759815477825136,0.03849014023445996,1.071976904980455,1.0,1.037046353616193,1.0856394889096814
2021-09-30,-0.11751516983668164,-0.04660566360304963,21.0,0.0,,False,-0.04660566360304963,-0.05875758491834082,0.9460033569306765,1.0,0.9761120144293337,1.03504254009537
2021-10-31,0.11842440910371987,0.07016375941606112,21.0,0.0,,False,0.07016375941606112,0.05921220455185994,1.0580332454853272,1.0,1.0339097586932515,1.1076650158640104
2021-11-30,-0.052816282249133706,-0.008034769572340283,21.0,0.0,,False,-0.008034769572340283,-0.026408141124566853,1.0021518629628072,1.0,1.0066061238756132,1.0987651826982006
2021-12-31,0.026985845745878034,0.04624759731339623,22.0,0.0,,False,0.04624759731339623,0.013492922872939017,1.0291957785506658,1.0,1.0201881826684949,1.1495804324096073
2022-01-31,-0.11855350049454716,-0.05274120335718302,20.0,0.0,,False,-0.05274120335718302,-0.05927675024727358,0.9071810163092736,1.0,0.9597147425592346,1.0889501770484538
2022-02-28,-0.10840374803427488,-0.029516922600363094,19.0,0.0,,False,-0.029516922600363094,-0.05420187401713744,0.8088391939958057,1.0,0.9076964049906494,1.0568077189568628
2022-03-31,0.061656431825512614,0.0375903310951613,23.0,0.0,,False,0.0375903310951613,0.030828215912756307,0.8587093326182107,1.0,0.9356790657469337,1.0965334710163734
2022-04-30,-0.06573498695712887,-0.08776921425223905,20.0,0.0,,False,-0.08776921425223905,-0.032867493478564436,0.8022620858385878,1.0,0.9049256401554671,1.000291589863986
2022-05-31,0.03185257996607316,0.0022575971498282055,21.0,0.0,,False,0.0022575971498282055,0.01592628998303658,0.82781620308151,1.0,0.919337748313668,1.00254984530626
2022-06-30,-0.04007827463061353,-0.08246063239343415,21.0,-0.0970788398053767,-0.0824606323934342,True,-0.08246063239343415,-0.0685785572179951,0.7946387579507376,0.9029211601946233,0.8562908919382763,0.9198789510563662
2022-07-31,0.03539622719183866,0.09208742377921597,20.0,0.0600345473741467,0.0920874237792162,True,0.09208742377921597,0.04771538728299268,0.8227659719626024,0.9571276233614469,0.8971491434740105,1.0045882338478744
2022-08-31,-0.03406554591689881,-0.04080199464363021,23.0,0.0044239625882528,-0.0408019946436314,True,-0.04080199464363021,-0.014820791664323004,0.7947379999658485,0.9613619201593812,0.8838526829267563,0.9635990301113595
2022-09-30,-0.04410563720075722,-0.09244590224997795,21.0,-0.0965751341242754,-0.0924459022499785,True,-0.09244590224997795,-0.07034038566251631,0.7596855740696994,0.868518263778018,0.8216821443408385,0.8745182483655112
2022-10-31,0.0,0.08127559028328091,21.0,0.1197010028401074,0.0812755902832804,True,0.08127559028328091,0.0598505014200537,0.7596855740696994,0.9724807709371956,0.8708602326875426,0.945595235214919
2022-11-30,0.0468685909214015,0.05559166781213842,21.0,0.0478621627537834,0.0555916678121382,True,0.05559166781213842,0.04736537683759245,0.7952909664696621,1.0190258038707165,0.9121088557816615,0.9981624514157276
2022-12-31,0.0033206172674751233,-0.057628337854994105,21.0,-0.0209031500906839,-0.0576283378549948,True,-0.057628337854994105,-0.008791266411604388,0.7979318233855883,0.9977249545461271,0.9040902638341012,0.9406400084313729
2023-01-31,0.11880715706001932,0.06288753547643822,20.0,-0.000913614736666,0.0628875354764382,True,0.06288753547643822,0.05894677116167666,0.8927318348497475,0.9968134183245144,0.9573834657258299,0.999794540332158
2023-02-28,-0.04827328386492147,-0.02514273335839945,19.0,-0.0505916295156266,-0.0251427333583997,True,-0.02514273335839945,-0.04943245669027403,0.8496367375707935,0.9463830031684353,0.9100576490203534,0.974656972791403
2023-03-31,0.045483243879764323,0.03707769902515334,23.0,0.022697197893491,0.0370776990251531,True,0.03707769902515334,0.034090220886627665,0.8882809725149332,0.9678632454743855,0.9410817152950223,1.0107950106813297
2023-04-30,0.0870588714001217,0.015974926467342332,19.0,0.0260877641270145,0.0159749264673416,True,0.015974926467342332,0.056573317763568096,0.9656137114682858,0.993112633529528,0.9943218302158913,1.0269423866505205
2023-05-31,0.04141406913133916,0.0046163098890830145,22.0,-0.0654710345033125,0.0046163098890819,True,0.0046163098890830145,-0.01202848268598667,1.0056037044692023,0.9280925220340408,0.9823616472968408,1.0316830709455338
2023-06-30,0.17334075729010578,0.06479971651485439,21.0,0.0797340036256027,0.0647997165148539,True,0.06479971651485439,0.12653738045785423,1.1799158121356297,1.0020930545507978,1.1066671168080455,1.0985358414759787
2023-07-31,0.0495984522095656,0.032733253503257176,20.0,0.0243379131569131,0.0327332535032574,True,0.032733253503257176,0.03696818268323935,1.2384378101551494,1.0264819082876009,1.1475785889517391,1.134494493657426
2023-08-31,0.01653916816077139,-0.016252007292960058,23.0,-0.017775079143506,-0.0162520072929602,True,-0.016252007292960058,-0.0006179554913673061,1.2589205413539628,1.0082361111284117,1.1468694364609209,1.1160566808726824
