date,close,contribution,shares_bought,cum_contributed,cum_shares,market_value,pnl_dollars,mode
2021-04-30,389.7510681152344,61000.0,156.51015478927346,61000.0,156.51015478927346,60999.99999999999,-7.275957614183426e-12,lump_sum
2021-05-03,390.5916442871094,0.0,0.0,61000.0,156.51015478927346,61131.558706772325,131.5587067723245,lump_sum
2021-05-04,388.1820068359375,0.0,0.0,61000.0,156.51015478927346,60754.425976303384,-245.57402369661577,lump_sum
2021-05-05,388.3034362792969,0.0,0.0,61000.0,156.51015478927346,60773.43091727954,-226.56908272045985,lump_sum
2021-05-06,391.40423583984375,0.0,0.0,61000.0,156.51015478927346,61258.73753647124,258.7375364712425,lump_sum
2021-05-07,394.25286865234375,0.0,0.0,61000.0,156.51015478927346,61704.57749889342,704.5774988934209,lump_sum
2021-05-10,390.348876953125,0.0,0.0,61000.0,156.51015478927346,61093.56315375265,93.56315375264967,lump_sum
2021-05-11,386.86505126953125,0.0,0.0,61000.0,156.51015478927346,60548.30905675455,-451.6909432454486,lump_sum
2021-05-12,378.64599609375,0.0,0.0,61000.0,156.51015478927346,59261.943458971444,-1738.0565410285562,lump_sum
2021-05-13,383.1945495605469,0.0,0.0,61000.0,156.51015478927346,59973.83826612711,-1026.1617338728902,lump_sum
2021-05-14,389.07855224609375,0.0,0.0,61000.0,156.51015478927346,60894.74443722255,-105.25556277744909,lump_sum
2021-05-17,388.0886535644531,0.0,0.0,61000.0,156.51015478927346,60739.81524133328,-260.1847586667209,lump_sum
2021-05-18,384.74493408203125,0.0,0.0,61000.0,156.51015478927346,60216.489187567524,-783.5108124324761,lump_sum
2021-05-19,383.7362060546875,0.0,0.0,61000.0,156.51015478927346,60058.61300786767,-941.3869921323276,lump_sum
2021-05-20,387.8644714355469,0.0,0.0,61000.0,156.51015478927346,60704.728461637176,-295.2715383628238,lump_sum
2021-05-21,387.546875,0.0,0.0,61000.0,156.51015478927346,60655.02139434921,-344.97860565078736,lump_sum
2021-05-24,391.4976501464844,0.0,0.0,61000.0,156.51015478927346,61273.357824063096,273.3578240630959,lump_sum
2021-05-25,390.6289978027344,0.0,0.0,61000.0,156.51015478927346,61137.40491128472,137.40491128472058,lump_sum
2021-05-26,391.40423583984375,0.0,0.0,61000.0,156.51015478927346,61258.73753647124,258.7375364712425,lump_sum
2021-05-27,391.6097106933594,0.0,0.0,61000.0,156.51015478927346,61290.89643760027,290.89643760026956,lump_sum
2021-05-28,392.3102722167969,0.0,0.0,61000.0,156.51015478927346,61400.54143007289,400.54143007288803,lump_sum
2021-06-01,391.9645690917969,0.0,0.0,61000.0,156.51015478927346,61346.435380468,346.4353804679995,lump_sum
2021-06-02,392.5811462402344,0.0,0.0,61000.0,156.51015478927346,61442.93596540948,442.93596540948056,lump_sum
2021-06-03,391.1240539550781,0.0,0.0,61000.0,156.51015478927346,61214.88622631742,214.88622631742328,lump_sum
2021-06-04,394.70123291015625,0.0,0.0,61000.0,156.51015478927346,61774.75105828563,774.7510582856266,lump_sum
2021-06-07,394.3182373046875,0.0,0.0,61000.0,156.51015478927346,61714.808356790105,714.8083567901049,lump_sum
2021-06-08,394.4023132324219,0.0,0.0,61000.0,156.51015478927346,61727.967093253865,727.9670932538647,lump_sum
2021-06-09,393.8139953613281,0.0,0.0,61000.0,156.51015478927346,61635.88937218369,635.8893721836866,lump_sum
2021-06-10,395.6445007324219,0.0,0.0,61000.0,156.51015478927346,61922.382051156164,922.3820511561644,lump_sum
2021-06-11,396.29827880859375,0.0,0.0,61000.0,156.51015478927346,62024.704959055656,1024.7049590556562,lump_sum
2021-06-14,397.1856994628906,0.0,0.0,61000.0,156.51015478927346,62163.595303022856,1163.5953030228557,lump_sum
2021-06-15,396.45703125,0.0,0.0,61000.0,156.51015478927346,62049.55132823333,1049.5513282333268,lump_sum
2021-06-16,394.2435607910156,0.0,0.0,61000.0,156.51015478927346,61703.120724076194,703.1207240761942,lump_sum
2021-06-17,394.1127624511719,0.0,0.0,61000.0,156.51015478927346,61682.64945566107,682.6494556610705,lump_sum
2021-06-18,388.7960510253906,0.0,0.0,61000.0,156.51015478927346,60850.53012744215,-149.46987255784916,lump_sum
2021-06-21,394.36212158203125,0.0,0.0,61000.0,156.51015478927346,61721.67669182999,721.6766918299909,lump_sum
2021-06-22,396.4703674316406,0.0,0.0,61000.0,156.51015478927346,62051.638576086196,1051.6385760861958,lump_sum
2021-06-23,395.9925231933594,0.0,0.0,61000.0,156.51015478927346,61976.851100387634,976.8511003876338,lump_sum
2021-06-24,398.3351135253906,0.0,0.0,61000.0,156.51015478927346,62343.4902758617,1343.4902758617027,lump_sum
2021-06-25,399.7500305175781,0.0,0.0,61000.0,156.51015478927346,62564.93915332294,1564.9391533229427,lump_sum
2021-06-28,400.5557861328125,0.0,0.0,61000.0,156.51015478927346,62691.0480893856,1691.0480893856002,lump_sum
2021-06-29,400.7713928222656,0.0,0.0,61000.0,156.51015478927346,62724.79272572551,1724.792725725507,lump_sum
2021-06-30,401.1087341308594,0.0,0.0,61000.0,156.51015478927346,62777.59006615033,1777.5900661503329,lump_sum
