date,ratio,regime,target_in_position,in_position,suspended,flip,svxy_return,strategy_return,strategy_nav,spy_return,spy_nav,monthly_dd
2021-04-30,0.8432261380916972,unknown,False,False,False,False,0.0,0.0,1.0,0.0,1.0,0.0
2021-05-03,0.8422262952489735,contango,True,True,False,True,0.01947394858989071,-0.001,0.999,0.0021567001110218698,1.0021567001110219,-0.0010000000000000009
2021-05-04,0.8592853761216611,contango,True,True,False,False,-0.021465147278268315,-0.021465147278268315,0.97755631786901,-0.006169198666729936,0.9959741963328425,-0.022443682130990017
2021-05-05,0.8602874852482523,contango,True,True,False,False,0.013483638602526327,0.013483638602526327,0.9907373339727721,0.00031281574421537783,0.9962857527422876,-0.009262666027227917
2021-05-06,0.8404936058052441,contango,True,True,False,False,0.0031771216336964336,0.0031771216336964336,0.9938850269898477,0.007985506361361638,1.0042415989585451,-0.0061149730101522914
2021-05-07,0.8027897931256186,contango,True,True,False,False,0.028701519196376424,0.028701519196376424,1.022411037170988,0.007277981563964531,1.0115504508015316,0.022411037170988024
2021-05-10,0.8776785795633891,contango,True,True,False,False,-0.0217433334918814,-0.0217433334918814,1.0001804130239988,-0.009902253121362392,1.0015338221926666,0.00018041302399884884
2021-05-11,0.9013619713247485,contango,True,True,False,False,-0.03914244045031734,-0.03914244045031734,0.9610309107676331,-0.008924902540483282,0.9925952304385993,-0.03896908923236686
2021-05-12,0.979063160177485,contango,True,True,False,False,-0.08659160029405577,-0.08659160029405577,0.8778137062722099,-0.02124527699984713,0.9715072698192042,-0.12218629372779011
2021-05-13,0.9156769180991602,gray,False,False,False,True,0.0454953528146218,0.0444953528146218,0.9168723368383027,0.012012680745924653,0.9831776764938872,-0.08312766316169728
2021-05-14,0.8450134444085424,contango,True,True,False,True,0.06087888659580032,-0.001,0.9159554645014644,0.015355131465973892,0.9982744989708616,-0.08404453549853563
2021-05-17,0.8522039686040845,contango,True,True,False,False,-0.015154576168186495,-0.015154576168186495,0.9020745476480103,-0.0025442129254519275,0.9957346760874309,-0.09792545235198968
2021-05-18,0.8810900395369285,contango,True,True,False,False,-0.006155171141291826,-0.006155171141291826,0.8965221244250334,-0.008615865090903951,0.9871555604519267,-0.10347787557496657
2021-05-19,0.8777206135095833,contango,True,True,False,False,-0.026424418158243035,-0.026424418158243035,0.87283204892111,-0.002621809770544492,0.9845674263584865,-0.12716795107889
2021-05-20,0.868122660223497,contango,True,True,False,False,0.028413913420769932,0.028413913420769932,0.8976326231900277,0.010758081504227412,0.9951594829776585,-0.10236737680997232
2021-05-21,0.8578118269420102,contango,True,True,False,False,0.010309278350515427,0.010309278350515427,0.906886567758997,-0.0008188335331962282,0.9943446130221182,-0.09311343224100299
2021-05-24,0.8277103012787216,contango,True,True,False,False,0.019591818050462395,0.019591818050462395,0.9246541243869396,0.010194315581784519,1.0044812758043131,-0.07534587561306039
2021-05-25,0.8410714497067494,contango,True,True,False,False,-0.001601241349547644,-0.001601241349547644,0.9231735299689414,-0.0022187932505469687,1.0022525395292576,-0.07682647003105858
2021-05-26,0.8150235320265338,contango,True,True,False,False,0.024859619831928415,0.024859619831928415,0.9461232729628687,0.001984589063971365,1.004241598958545,-0.05387672703713131
2021-05-27,0.8242245303447343,contango,True,True,False,False,0.0244522696814915,0.0244522696814915,0.9692581343852922,0.0005249683950780959,1.0047687940590209,-0.03074186561470782
2021-05-28,0.818359404467629,contango,True,True,False,False,-0.009929357807320405,-0.009929357807320405,0.9596340235613248,0.0017889278644218631,1.0065662529520145,-0.04036597643867523
2021-06-01,0.8388003510093485,contango,True,True,False,False,-0.012343286566688483,-0.012343286566688483,0.947788985809363,-0.0008811982491474524,1.0056792685322622,-0.012343286566688594
2021-06-02,0.816059732958726,contango,True,True,False,False,0.013473978788167251,0.013473978788167251,0.9605594744998169,0.0015730430683216223,1.0072612453345817,0.0009643790401028252
2021-06-03,0.8267644898183246,contango,True,True,False,False,-0.010211995730479262,-0.010211995730479262,0.9507502452473534,-0.003711569694853867,1.0035227250215972,-0.009257464925016445
2021-06-04,0.7963142292919713,contango,True,True,False,False,0.02764263214265328,0.02764263214265328,0.9770314845362634,0.009145893531490534,1.012700837021076,0.01812926652014113
2021-06-07,0.7990267973675432,contango,True,True,False,False,0.008713754053703004,0.008713754053703004,0.9855450965952367,-0.000970343068464441,1.0117181697834443,0.0270009945434746
2021-06-08,0.8187050063555417,contango,True,True,False,False,-0.0069483367490096315,-0.0069483367490096315,0.9786971973827577,0.00021321846108124376,1.0119338867746535,0.019865045791818803
2021-06-09,0.8406954329130026,contango,True,True,False,False,-0.005673207847974759,-0.005673207847974759,0.973144844761775,-0.0014916694232142147,1.0104244159374374,0.01407913941015737
2021-06-10,0.8017928507291666,contango,True,True,False,False,0.028718110858668267,0.028718110858668267,1.001091726295185,0.004648147076170339,1.0151210172320682,0.04320157655520118
2021-06-11,0.7968431825297737,contango,True,True,False,False,0.013680933192443234,0.013680933192443234,1.0147875953221372,0.0016524381735663063,1.016798441951732,0.05747354763030432
2021-06-14,0.8138033707226712,contango,True,True,False,False,-0.0047419684032038445,-0.0047419684032038445,1.0099755046091565,0.002239274560981608,1.0190753328364401,0.05245904148021774
2021-06-15,0.8230174181140565,contango,True,True,False,False,-0.017408846770243902,-0.017408846770243902,0.992392995807716,-0.001834578168035783,1.0172057594792345,0.03413694329513084
2021-06-16,0.8537158712667082,contango,True,True,False,False,-0.0013054773632714678,-0.0013054773632714678,0.9910974492162199,-0.0055831282699299045,1.0115265692471505,0.03278690092513625
2021-06-17,0.8460438697468136,contango,True,True,False,False,0.005975718009025854,0.005975718009025854,0.9970199680922008,-0.0003317703898100266,1.0111909746829681,0.03895854420848077
2021-06-18,0.9027475136259387,contango,True,True,False,False,-0.045479873983983676,-0.045479873983983676,0.9516756255838521,-0.013490330515343207,0.9975496742203629,-0.008293159456704169
2021-06-21,0.8470643313808599,contango,True,True,False,False,0.03656167123807186,0.03656167123807186,0.9864704769317353,0.014316170501117442,1.0118307654398357,0.027965300011786765
2021-06-22,0.8300946736789686,contango,True,True,False,False,0.02101311346935275,0.02101311346935275,1.0071992929976683,0.005345964366840983,1.0172399766571505,0.04956605150349169
2021-06-23,0.8284263483647245,contango,True,True,False,False,0.009555319280778907,0.009555319280778907,1.0168234038216357,-0.001205245782621156,1.0160139524653709,0.05959499023187376
2021-06-24,0.8291796509472819,contango,True,True,False,False,0.011649130330239288,0.011649130330239288,1.0286685121755914,0.00591574384571758,1.0220244307518311,0.07193835037035345
2021-06-25,0.8221052571346885,contango,True,True,False,False,0.00683694208166874,0.00683694208166874,1.0357014592145724,0.003552076992824116,1.0256547402184089,0.07926713078695524
2021-06-28,0.8286014642259825,contango,True,True,False,False,-0.003037851531925484,-0.003037851531925484,1.03255515195008,0.0020156486647195937,1.0277220998259935,0.07598847748033721
2021-06-29,0.8219600126164899,contango,True,True,False,False,-0.00806597518470753,-0.00806597518470753,1.0242265877176087,0.0005382688177713035,1.0282752905856642,0.06730958112194951
2021-06-30,0.8113787666835568,contango,True,True,False,False,0.0037947069731412153,0.0037947069731412153,1.0281132274920972,0.0008417300102638858,1.029140820756563,0.0713597082319335
2021-07-01,0.7958868347055456,contango,True,True,False,False,0.009000900213629981,0.009000900213629981,1.0373671720610667,0.005536563956824114,1.0348387247312603,0.009000900213629981
2021-07-02,0.7808290305984192,contango,True,True,False,False,0.0007136648719325844,0.0007136648719325844,1.0381075045710626,0.007643591047147069,1.0427486087428572,0.009720988711860779
2021-07-06,0.8114511524349056,contango,True,True,False,False,-0.011588545625078162,-0.011588545625078162,1.0260773483906047,-0.0018215375299581726,1.0408492030177205,-0.0019802090344257506
2021-07-07,0.7937286077438915,contango,True,True,False,False,-0.0007214484455417836,-0.0007214484455417836,1.0253370864826026,0.0035340237235015337,1.0445275887937728,-0.0027002288612378855
2021-07-08,0.8644222200045991,contango,True,True,False,False,-0.03808665256743582,-0.03808665256743582,0.9862854291052328,-0.008148025931854375,1.036016750913744,-0.04068403875018323
2021-07-09,0.7915851214493013,contango,True,True,False,False,0.03996992337820249,0.03996992337820249,1.0257071821356065,0.01067480209496452,1.0470760246968163,-0.0023402532835413714
2021-07-12,0.7903226197388032,contango,True,True,False,False,0.005954562287221465,0.005954562287221465,1.0318148194400834,0.003582029147985333,1.050826681537437,0.0036003738197354362
2021-07-13,0.8102225044580779,contango,True,True,False,False,-0.00878926777518918,-0.00878926777518918,1.0227459226976159,-0.003409041205577501,1.0472443700801555,-0.005220538605046343
2021-07-14,0.7919495275982329,contango,True,True,False,False,0.010133937573298724,0.010133937573298724,1.0331103660315792,0.0014922161465891204,1.0488070850386135,0.004860494355929612
2021-07-15,0.8065433905079697,contango,True,True,False,False,-0.0062701267652200965,-0.0062701267652200965,1.0266326330740982,-0.003415605699449986,1.045224773581332,-0.0014401083250437097
2021-07-16,0.8359764847330869,contango,True,True,False,False,-0.021813644718621572,-0.021813644718621572,1.0042380335596768,-0.007843466281417744,1.0370265883132443,-0.023222339032306638
2021-07-19,0.9036144716747616,contango,True,True,False,False,-0.07113890370546594,-0.07113890370546594,0.9327976407929085,-0.014767850453967002,1.0217119347402468,-0.09270923099753758
