threshold,signal_time,eow_time,n,mean,std,t_stat,p_value,ci_low_95,ci_high_95,hit_rate,by_year_min,verdict_simple,verdict_nuanced
0.0075,10:30,15:55,2,0.003174785383536105,0.0009589144519267183,4.682195098842611,0.13395355954928956,-0.00544071914479851,0.01179028991187072,1.0,0.002496730472000941,EDGE_PRESENT,EDGE_PRESENT_AND_SIGNIFICANT
0.005,11:00,15:55,31,0.0009872198404228512,0.0033306484455822957,1.6503115040783363,0.10931182288076254,-0.00023447187258237396,0.0022089115534280764,0.6774193548387096,-0.00023654620771518253,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.001,10:30,15:55,161,0.00043011487397041475,0.004855348334139205,1.124027681248093,0.26268485222229354,-0.00032559119070632673,0.0011858209386471563,0.577639751552795,0.00013825649478461222,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.0025,10:30,15:55,72,0.00046681494586134505,0.004475300465497481,0.8850927878186926,0.37909432248936936,-0.0005848291056119504,0.0015184589973346405,0.6111111111111112,-0.0002417025406519355,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.005,10:30,15:55,17,0.0005954382766817825,0.004590511499007073,0.5348107523150243,0.6001349291612678,-0.0017647849473893648,0.0029556615007529296,0.6470588235294118,0.0003063714447123007,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.005,10:00,15:55,6,0.0005900578096118362,0.007043935800420124,0.20518934204469852,0.8455161544239342,-0.006802099464488289,0.007982215083711962,0.6666666666666666,-0.0013599811996468092,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.0075,11:00,15:55,5,0.00017459937543380378,0.0027865340918534908,0.1401081269525409,0.8953464461019911,-0.003285339686188096,0.003634538437055704,0.6,-0.0006097262963880024,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.001,11:00,15:55,176,4.981366980593692e-05,0.004850479957237977,0.13624486948382444,0.8917843090355136,-0.0006717759201517975,0.0007714032597636714,0.5852272727272727,-0.00036873887254380784,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.0025,10:00,15:55,46,-0.0003748133264292826,0.007100676425631376,-0.3580092246901961,0.7220103352828161,-0.0024834539392855183,0.0017338272864269534,0.5434782608695652,-0.002146431346939931,NO_EDGE,NO_EDGE
0.0025,11:00,15:55,103,-0.0005351426939252191,0.005598760806833836,-0.9700548674751719,0.3343138163894504,-0.001629362239277282,0.0005590768514268439,0.5631067961165048,-0.001428027145214857,NO_EDGE,NO_EDGE
0.001,10:00,15:55,140,-0.000711283995062694,0.006069838610146137,-1.386532042614365,0.1678043285050002,-0.0017255662673805745,0.00030299827725518654,0.5142857142857142,-0.0018346566695600743,NO_EDGE,NO_EDGE
